deaths,discharged,total,active,perdeath,perdis,peractive,date
49,700,1486,737.0,0.0,2.169999999999998,-2.180000000000007,2020-04-22
34,365,1229,830.0,-0.020000000000000018,0.5899999999999999,-0.5600000000000023,2020-04-23
37,489,1752,1226.0,-0.08000000000000007,0.6000000000000014,-0.519999999999996,2020-04-24
56,396,1490,1038.0,0.040000000000000036,0.35999999999999943,-0.4000000000000057,2020-04-25
47,704,1975,1224.0,-0.050000000000000266,1.0799999999999983,-1.0300000000000011,2020-04-26
60,448,1463,955.0,0.050000000000000266,0.45000000000000284,-0.5,2020-04-27
51,665,1594,878.0,0.009999999999999787,1.0199999999999996,-1.029999999999987,2020-04-28
71,770,1735,894.0,0.050000000000000266,1.1499999999999986,-1.2000000000000028,2020-04-29
67,576,1901,1258.0,0.020000000000000018,0.3200000000000003,-0.3400000000000034,2020-04-30
77,692,1755,986.0,0.05999999999999961,0.7199999999999989,-0.7800000000000011,2020-05-01
71,953,2411,1387.0,-0.019999999999999574,0.8900000000000006,-0.8700000000000045,2020-05-02
83,869,2487,1535.0,0.0,0.5199999999999996,-0.519999999999996,2020-05-03
83,875,2573,1615.0,0.0,0.4200000000000017,-0.4200000000000017,2020-05-04
194,1399,3875,2282.0,0.1499999999999999,0.7199999999999989,-0.8599999999999994,2020-05-05
111,1022,2680,1547.0,0.040000000000000036,0.5399999999999991,-0.5900000000000034,2020-05-06
89,1084,3561,2388.0,-0.06000000000000005,0.10999999999999943,-0.04999999999999716,2020-05-07
103,1273,3390,2014.0,-0.020000000000000018,0.5300000000000011,-0.5,2020-05-08
95,1307,3320,1918.0,-0.03000000000000025,0.5500000000000007,-0.5300000000000011,2020-05-09
128,1511,3277,1638.0,0.03000000000000025,0.8500000000000014,-0.8799999999999955,2020-05-10
97,1559,4213,2557.0,-0.06000000000000005,0.389999999999997,-0.3200000000000074,2020-05-11
87,1538,3604,1979.0,-0.04999999999999982,0.5899999999999999,-0.5499999999999972,2020-05-12
122,1931,3525,1472.0,0.009999999999999787,1.0899999999999999,-1.0999999999999943,2020-05-13
134,1849,3722,1739.0,0.020000000000000018,0.8000000000000043,-0.8200000000000003,2020-05-14
100,1685,3967,2182.0,-0.040000000000000036,0.4299999999999997,-0.39000000000000057,2020-05-15
103,2233,3740,1404.0,-0.020000000000000018,1.1199999999999974,-1.1000000000000014,2020-05-16
120,3956,5217,1141.0,-0.04999999999999982,2.3299999999999983,-2.280000000000001,2020-05-17
157,2715,5242,2370.0,-0.010000000000000231,0.7800000000000011,-0.769999999999996,2020-05-18
134,2350,4970,2486.0,-0.020000000000000018,0.4399999999999977,-0.4200000000000017,2020-05-19
140,3124,5611,2347.0,-0.040000000000000036,0.8900000000000006,-0.8599999999999994,2020-05-20
132,3002,5609,2475.0,-0.029999999999999805,0.7000000000000028,-0.6499999999999986,2020-05-21
148,3234,6088,2706.0,-0.040000000000000036,0.6599999999999966,-0.6300000000000026,2020-05-22
137,3250,6654,3267.0,-0.04999999999999982,0.4100000000000037,-0.36999999999999744,2020-05-23
147,2657,6767,3963.0,-0.040000000000000036,-0.10999999999999943,0.14999999999999858,2020-05-24
154,3280,6977,3543.0,-0.03000000000000025,0.28999999999999915,-0.25,2020-05-25
146,2770,6535,3619.0,-0.029999999999999805,0.03999999999999915,-0.00999999999999801,2020-05-26
170,3935,6387,2282.0,-0.010000000000000231,0.8400000000000034,-0.8300000000000054,2020-05-27
194,3266,6566,3106.0,0.0,0.29999999999999716,-0.29999999999999716,2020-05-28
175,3414,7466,3877.0,-0.020000000000000018,0.14000000000000057,-0.11999999999999744,2020-05-29
265,11264,7964,-3565.0,0.020000000000000018,4.509999999999998,-4.530000000000001,2020-05-30
193,4614,8380,3573.0,-0.020000000000000018,0.35999999999999943,-0.3300000000000054,2020-05-31
230,4835,8392,3327.0,-0.009999999999999787,0.4299999999999997,-0.4299999999999997,2020-06-01
204,3708,8171,4259.0,-0.010000000000000231,-0.11999999999999744,0.13000000000000256,2020-06-02
217,4776,8909,3916.0,-0.020000000000000018,0.240000000000002,-0.21999999999999886,2020-06-03
260,3804,9304,5240.0,0.0,-0.3200000000000003,0.3200000000000003,2020-06-04
273,5355,9851,4223.0,0.0,0.28000000000000114,-0.28000000000000114,2020-06-05
294,4611,9887,4982.0,0.010000000000000231,-0.07000000000000028,0.060000000000002274,2020-06-06
287,5220,9971,4464.0,0.0,0.1699999999999946,-0.1700000000000017,2020-06-07
271,5137,9983,4575.0,0.0,0.12000000000000455,-0.11999999999999744,2020-06-08
271,4884,9987,4832.0,-0.010000000000000231,0.01999999999999602,-0.010000000000005116,2020-06-09
274,5892,9985,3819.0,0.0,0.37000000000000455,-0.36999999999999744,2020-06-10
357,5823,9996,3816.0,0.03000000000000025,0.3299999999999983,-0.35999999999999943,2020-06-11
396,6166,10956,4394.0,0.029999999999999805,0.259999999999998,-0.28999999999999915,2020-06-12
386,7135,11458,3937.0,0.020000000000000018,0.480000000000004,-0.490000000000002,2020-06-13
311,8049,11929,3569.0,-0.009999999999999787,0.6499999999999986,-0.6400000000000006,2020-06-14
325,7419,11502,3758.0,-0.010000000000000231,0.4799999999999969,-0.4799999999999969,2020-06-15
380,10215,10667,72.0,0.03000000000000025,1.3900000000000006,-1.4100000000000037,2020-06-16
2003,6922,10974,2049.0,0.46999999999999975,0.3299999999999983,-0.8099999999999952,2020-06-17
