active,date,deaths,discharged,loc,peractive,perdeath,perdis,total
-3.0,2020-04-16,0.0,9.0,Haryana,-3.8499999999999943,-0.050000000000000044,3.8900000000000006,6.0
0.0,2020-04-17,0.0,0.0,Haryana,0.0,0.0,0.0,0.0
20.0,2020-04-18,0.0,0.0,Haryana,2.0,-0.1299999999999999,-1.870000000000001,20.0
-36.0,2020-04-19,0.0,44.0,Haryana,-18.190000000000005,-0.040000000000000036,18.230000000000004,8.0
0.0,2020-04-20,0.0,0.0,Haryana,0.0,0.0,0.0,0.0
-19.0,2020-04-21,0.0,40.0,Haryana,-12.549999999999997,-0.1100000000000001,12.659999999999997,21.0
0.0,2020-04-22,0.0,0.0,Haryana,0.0,0.0,0.0,0.0
-5.0,2020-04-23,0.0,13.0,Haryana,-3.3999999999999986,-0.030000000000000027,3.4399999999999977,8.0
-6.0,2020-04-24,0.0,16.0,Haryana,-3.8800000000000026,-0.04999999999999982,3.9100000000000037,10.0
0.0,2020-04-25,0.0,0.0,Haryana,0.0,0.0,0.0,0.0
-3.0,2020-04-26,0.0,20.0,Haryana,-3.479999999999997,-0.06000000000000005,3.549999999999997,17.0
0.0,2020-04-27,0.0,0.0,Haryana,0.0,0.0,0.0,0.0
0.0,2020-04-28,0.0,7.0,Haryana,-0.9000000000000057,-0.030000000000000027,0.9200000000000017,7.0
-12.0,2020-04-29,0.0,26.0,Haryana,-5.549999999999997,-0.040000000000000036,5.600000000000001,14.0
0.0,2020-04-30,0.0,0.0,Haryana,0.0,0.0,0.0,0.0
3.0,2020-05-01,0.0,0.0,Haryana,0.6600000000000037,-0.010000000000000009,-0.6500000000000057,3.0
28.0,2020-05-02,1.0,18.0,Haryana,3.559999999999995,0.15000000000000013,-3.7099999999999937,47.0
34.0,2020-05-03,0.0,0.0,Haryana,5.539999999999999,-0.09000000000000008,-5.450000000000003,34.0
29.0,2020-05-04,1.0,18.0,Haryana,2.0700000000000003,0.10999999999999988,-2.1799999999999997,48.0
65.0,2020-05-05,1.0,9.0,Haryana,6.270000000000003,0.030000000000000027,-6.299999999999997,75.0
29.0,2020-05-06,0.0,2.0,Haryana,2.479999999999997,-0.06999999999999984,-2.4100000000000037,31.0
41.0,2020-05-07,1.0,4.0,Haryana,2.8599999999999994,0.08999999999999986,-2.9499999999999957,46.0
31.0,2020-05-08,0.0,0.0,Haryana,2.230000000000004,-0.05999999999999983,-2.1700000000000017,31.0
2.0,2020-05-09,1.0,19.0,Haryana,-1.6400000000000006,0.11999999999999988,1.519999999999996,22.0
16.0,2020-05-10,1.0,11.0,Haryana,0.060000000000002274,0.09000000000000008,-0.1599999999999966,28.0
17.0,2020-05-11,1.0,10.0,Haryana,0.19999999999999574,0.08999999999999986,-0.28999999999999915,28.0
-11.0,2020-05-12,1.0,37.0,Haryana,-3.5700000000000003,0.09000000000000008,3.489999999999995,27.0
45.0,2020-05-13,0.0,5.0,Haryana,2.4100000000000037,-0.10000000000000009,-2.309999999999995,50.0
-63.0,2020-05-14,0.0,76.0,Haryana,-8.840000000000003,-0.020000000000000018,8.86,13.0
4.0,2020-05-15,0.0,21.0,Haryana,-0.9099999999999966,-0.04999999999999982,0.9600000000000009,25.0
0.0,2020-05-16,0.0,0.0,Haryana,0.0,0.0,0.0,0.0
-8.0,2020-05-17,2.0,75.0,Haryana,-4.399999999999999,0.1299999999999999,4.280000000000001,69.0
-26.0,2020-05-18,1.0,48.0,Haryana,-3.8900000000000006,0.07000000000000006,3.809999999999995,23.0
-18.0,2020-05-19,0.0,36.0,Haryana,-2.6500000000000057,-0.030000000000000027,2.6799999999999997,18.0
7.0,2020-05-20,0.0,29.0,Haryana,-0.5399999999999991,-0.06000000000000005,0.6000000000000085,36.0
8.0,2020-05-21,0.0,21.0,Haryana,-0.17999999999999972,-0.040000000000000036,0.21999999999999886,29.0
4.0,2020-05-22,1.0,33.0,Haryana,-0.8399999999999963,0.040000000000000036,0.789999999999992,38.0
10.0,2020-05-23,1.0,25.0,Haryana,-0.1600000000000037,0.050000000000000044,0.12000000000000455,36.0
20.0,2020-05-24,0.0,44.0,Haryana,-0.05999999999999517,-0.09000000000000008,0.14000000000000057,64.0
38.0,2020-05-25,0.0,15.0,Haryana,1.769999999999996,-0.05999999999999983,-1.7000000000000028,53.0
0.0,2020-05-26,0.0,0.0,Haryana,0.0,0.0,0.0,0.0
61.0,2020-05-27,1.0,59.0,Haryana,1.5200000000000031,-0.050000000000000044,-1.4699999999999989,121.0
61.0,2020-05-28,1.0,14.0,Haryana,2.460000000000001,0.0,-2.460000000000001,76.0
79.0,2020-05-29,1.0,43.0,Haryana,2.1399999999999935,-0.040000000000000036,-2.1000000000000014,123.0
158.0,2020-05-30,0.0,59.0,Haryana,4.1200000000000045,-0.15999999999999992,-3.960000000000001,217.0
170.0,2020-05-31,1.0,31.0,Haryana,4.189999999999998,-0.06000000000000005,-4.1299999999999955,202.0
91.0,2020-06-01,0.0,77.0,Haryana,0.45000000000000284,-0.08000000000000007,-0.37000000000000455,168.0
257.0,2020-06-02,1.0,7.0,Haryana,5.409999999999997,-0.06999999999999995,-5.339999999999996,265.0
280.0,2020-06-03,2.0,14.0,Haryana,4.490000000000002,-0.020000000000000018,-4.469999999999999,296.0
282.0,2020-06-04,0.0,20.0,Haryana,3.539999999999999,-0.08999999999999997,-3.440000000000005,302.0
-719.0,2020-06-05,1.0,1045.0,Haryana,-28.130000000000003,-0.050000000000000044,28.17000000000001,327.0
316.0,2020-06-06,0.0,0.0,Haryana,5.780000000000001,-0.05999999999999994,-5.710000000000008,316.0
355.0,2020-06-07,0.0,0.0,Haryana,5.380000000000003,-0.06000000000000005,-5.329999999999998,355.0
492.0,2020-06-08,4.0,0.0,Haryana,6.0,0.020000000000000018,-6.020000000000003,496.0
395.0,2020-06-09,11.0,0.0,Haryana,3.8399999999999963,0.17000000000000004,-4.019999999999996,406.0
349.0,2020-06-10,6.0,0.0,Haryana,2.940000000000005,0.05999999999999994,-2.990000000000002,355.0
309.0,2020-06-11,7.0,54.0,Haryana,1.6799999999999997,0.07000000000000006,-1.75,370.0
305.0,2020-06-12,12.0,72.0,Haryana,1.2100000000000009,0.14,-1.3500000000000014,389.0
145.0,2020-06-13,6.0,215.0,Haryana,-1.240000000000002,0.040000000000000036,1.2000000000000028,366.0
79.0,2020-06-14,8.0,328.0,Haryana,-2.509999999999998,0.04999999999999982,2.460000000000001,415.0
249.0,2020-06-15,10.0,200.0,Haryana,-0.19000000000000483,0.06000000000000005,0.12999999999999545,459.0
-60.0,2020-06-16,12.0,562.0,Haryana,-4.579999999999998,0.08000000000000007,4.510000000000005,514.0
349.0,2020-06-17,18.0,183.0,Haryana,0.7199999999999989,0.1299999999999999,-0.8599999999999994,550.0
344.0,2020-06-18,12.0,204.0,Haryana,0.5200000000000031,0.040000000000000036,-0.5600000000000023,560.0
-222.0,2020-06-19,4.0,604.0,Haryana,-4.660000000000004,-0.020000000000000018,4.68,386.0
182.0,2020-06-20,10.0,333.0,Haryana,-0.779999999999994,0.030000000000000027,0.75,525.0
236.0,2020-06-21,5.0,239.0,Haryana,0.03999999999999915,-0.020000000000000018,-0.020000000000003126,480.0
-28.0,2020-06-22,11.0,429.0,Haryana,-2.1400000000000006,0.040000000000000036,2.0900000000000034,412.0
22.0,2020-06-23,9.0,359.0,Haryana,-1.4299999999999997,0.030000000000000027,1.4099999999999966,390.0
-96.0,2020-06-24,9.0,582.0,Haryana,-2.760000000000005,0.020000000000000018,2.75,495.0
53.0,2020-06-25,10.0,427.0,Haryana,-1.279999999999994,0.020000000000000018,1.25,490.0
-12.0,2020-06-26,10.0,455.0,Haryana,-1.5700000000000003,0.020000000000000018,1.5600000000000023,453.0
-228.0,2020-06-27,13.0,636.0,Haryana,-3.0500000000000043,0.04999999999999982,3.0,421.0
80.0,2020-06-28,7.0,456.0,Haryana,-0.8699999999999974,-0.019999999999999796,0.8800000000000026,543.0
